"overall_rank","city","total_score","pet_budget","pet_health","outdoor_friendliness","latitude","longitude"
1,"Scottsdale AZ",63,71,1,3,"33.85","-111.78"
2,"Tampa FL",62,42,5,13,"27.95","-82.53"
3,"Orlando FL",62,31,3,34,"28.54","-81.38"
4,"Las Vegas NV",60,32,34,1,"36.32","-115.35"
5,"Birmingham AL",60,9,15,77,"33.53","-86.78"
6,"Saint Louis MO",58,18,16,39,"38.65","-90.56"
7,"Saint Petersburg FL",58,42,9,29,"27.75","-82.64"
8,"Cincinnati OH",58,19,20,38,"39.15","-84.45"
9,"San Diego CA",57,92,2,8,"33.02","-117.12"
10,"New Orleans LA",57,34,10,44,"30.06","-89.93"
11,"Pittsburgh PA",57,22,46,20,"40.44","-79.99"
12,"Atlanta GA",57,25,11,56,"33.97","-84.32"
13,"Boise ID",56,38,48,12,"43.74","-116.2"
14,"Albuquerque NM",56,16,83,7,"35.11","-106.62"
15,"Austin TX",56,51,6,64,"30.37","-97.68"
16,"Denver CO",56,60,7,31,"39.76","-104.87"
17,"Seattle WA",56,70,18,11,"47.77","-122.38"
18,"Colorado Springs CO",55,53,26,22,"38.94","-104.7"
19,"Portland OR",55,76,21,4,"45.73","-122.76"
20,"Plano TX",55,81,4,32,"33.04","-96.74"
21,"Lincoln NE",54,4,67,69,"40.81","-96.68"
22,"Phoenix AZ",54,40,63,19,"33.83","-112.11"
23,"Miami FL",54,36,19,57,"25.93","-80.23"
24,"Omaha NE",54,23,30,52,"41.26","-96.01"
25,"Sacramento CA",54,83,14,17,"38.71","-121.54"
26,"Madison WI",54,52,38,30,"43.07","-89.4"
27,"Tulsa OK",54,15,58,50,"36.15","-95.99"
28,"Minneapolis MN",53,63,25,25,"44.98","-93.26"
29,"Raleigh NC",53,21,35,60,"35.88","-78.75"
30,"Tucson AZ",53,48,42,40,"32.54","-110.95"
31,"North Las Vegas NV",52,45,80,15,"36.37","-114.88"
32,"Oklahoma City OK",52,7,61,85,"35.52","-97.56"
33,"Saint Paul MN",52,30,60,42,"45.07","-93.19"
34,"Nashville TN",52,11,62,75,"36.17","-86.78"
35,"Fort Worth TX",52,28,23,83,"32.75","-97.33"
36,"Houston TX",52,27,43,66,"29.86","-95.24"
37,"Winston Salem NC",52,3,88,84,"36.1","-80.24"
38,"Irvine CA",51,97,8,5,"33.74","-117.76"
39,"Corpus Christi TX",51,10,78,87,"27.8","-97.39"
40,"Columbus OH",51,2,95,54,"40.03","-82.86"
41,"Lexington KY",51,47,22,94,"38.05","-84.5"
