MSA ID,MSA Name,State, No. of Children in Core Sample ,Relative Mobility Rank-Rank Slope,Absolute Upward Mobility
10180,Abilene, TX," 6,621 ",0.330,44.7
10420,Akron, OH," 26,124 ",0.389,38.8
10500,Albany, GA," 6,896 ",0.374,34.4
10540,Albany, OR," 4,471 ",0.322,39.5
10580,Albany-Schenectady-Troy, NY," 27,543 ",0.366,43.1
10740,Albuquerque, NM," 26,168 ",0.313,39.4
10780,Alexandria, LA," 6,585 ",0.396,39.5
10900,Allentown-Bethlehem-Easton, PA-NJ," 25,615 ",0.348,45.1
11020,Altoona, PA," 5,019 ",0.357,43.9
11100,Amarillo, TX," 9,366 ",0.334,43.2
11180,Ames, IA," 2,456 ",0.263,51.1
11260,Anchorage, AK," 12,839 ",0.272,45.0
11460,Ann Arbor, MI," 8,610 ",0.332,38.9
11500,Anniston-Oxford-Jacksonville, AL," 4,985 ",0.399,38.3
11540,Appleton, WI," 8,375 ",0.290,49.0
11700,Asheville, NC," 11,342 ",0.321,39.0
12020,Athens-Clarke County, GA," 4,905 ",0.391,35.0
12060,Atlanta-Sandy Springs-Roswell, GA," 115,186 ",0.364,36.1
12100,Atlantic City-Hammonton, NJ," 8,102 ",0.407,38.9
12220,Auburn-Opelika, AL," 3,272 ",0.384,36.7
12260,Augusta-Richmond County, GA-SC," 20,921 ",0.373,36.4
12420,Austin-Round Rock, TX," 38,107 ",0.326,40.0
12540,Bakersfield, CA," 25,043 ",0.256,45.3
12580,Baltimore-Columbia-Towson, MD," 86,346 ",0.412,38.9
12620,Bangor, ME," 5,462 ",0.318,42.3
12700,Barnstable Town, MA," 6,471 ",0.274,45.0
12940,Baton Rouge, LA," 29,574 ",0.405,39.3
12980,Battle Creek, MI," 5,462 ",0.393,36.9
13020,Bay City, MI," 4,296 ",0.358,41.2
13140,Beaumont-Port Arthur, TX," 17,160 ",0.348,42.9
13220,Beckley, WV," 4,637 ",0.332,44.0
13380,Bellingham, WA," 5,809 ",0.276,44.1
13460,Bend-Redmond, OR," 4,248 ",0.256,42.2
13740,Billings, MT," 5,657 ",0.255,47.2
13780,Binghamton, NY," 9,401 ",0.349,42.6
13820,Birmingham-Hoover, AL," 39,669 ",0.392,37.6
13900,Bismarck, ND," 4,410 ",0.302,51.1
13980,Blacksburg-Christiansburg-Radford, VA," 4,251 ",0.387,39.1
14010,Bloomington, IL," 5,799 ",0.350,43.2
14020,Bloomington, IN," 3,879 ",0.354,38.4
14100,Bloomsburg-Berwick, PA," 2,992 ",0.358,46.1
14260,Boise City, ID," 18,044 ",0.259,42.5
14460,Boston-Cambridge-Newton, MA-NH," 126,826 ",0.319,44.7
14500,Boulder, CO," 9,736 ",0.197,46.8
14540,Bowling Green, KY," 4,714 ",0.362,40.0
14740,Bremerton-Silverdale, WA," 9,246 ",0.275,42.7
14860,Bridgeport-Stamford-Norwalk, CT," 25,404 ",0.355,42.9
15180,Brownsville-Harlingen, TX," 13,814 ",0.227,43.5
15260,Brunswick, GA," 3,375 ",0.323,36.2
15380,Buffalo-Cheektowaga-Niagara Falls, NY," 41,269 ",0.372,42.4
15500,Burlington, NC," 4,106 ",0.402,36.5
15540,Burlington-South Burlington, VT," 6,846 ",0.320,43.2
15680,California-Lexington Park, MD," 3,373 ",0.383,44.3
15940,Canton-Massillon, OH," 15,765 ",0.405,40.0
15980,Cape Coral-Fort Myers, FL," 11,034 ",0.309,39.1
16020,Cape Girardeau, MO-IL," 3,242 ",0.403,40.6
16060,Carbondale-Marion, IL," 3,908 ",0.363,40.8
16180,Carson City, NV," 1,793 ",0.272,41.9
16220,Casper, WY," 2,940 ",0.293,49.5
16300,Cedar Rapids, IA," 8,768 ",0.300,46.9
16540,Chambersburg-Waynesboro, PA," 4,393 ",0.326,46.2
16580,Champaign-Urbana, IL," 6,680 ",0.378,41.8
16620,Charleston, WV," 8,826 ",0.341,41.1
16700,Charleston-North Charleston, SC," 19,734 ",0.342,37.8
16740,Charlotte-Concord-Gastonia, NC-SC," 56,836 ",0.400,35.6
16820,Charlottesville, VA," 5,658 ",0.364,39.0
16860,Chattanooga, TN-GA," 17,237 ",0.361,37.9
16940,Cheyenne, WY," 3,321 ",0.285,45.2
16980,Chicago-Naperville-Elgin, IL-IN-WI," 314,002 ",0.390,39.5
17020,Chico, CA," 6,612 ",0.283,41.3
17140,Cincinnati, OH-KY-IN," 78,164 ",0.428,37.9
17300,Clarksville, TN-KY," 7,395 ",0.354,38.5
17420,Cleveland, TN," 3,521 ",0.325,39.3
17460,Cleveland-Elyria, OH," 79,249 ",0.409,37.9
17660,Coeur d'Alene, ID," 4,293 ",0.226,44.8
17780,College Station-Bryan, TX," 5,546 ",0.343,41.7
17820,Colorado Springs, CO," 20,265 ",0.283,41.4
17860,Columbia, MO," 4,257 ",0.358,39.9
17900,Columbia, SC," 23,351 ",0.393,36.2
17980,Columbus, GA-AL," 11,213 ",0.369,35.4
18020,Columbus, IN," 2,570 ",0.398,39.0
18140,Columbus, OH," 58,342 ",0.409,37.6
18580,Corpus Christi, TX," 18,539 ",0.307,43.0
18700,Corvallis, OR," 2,433 ",0.267,42.1
18880,Crestview-Fort Walton Beach-Destin, FL," 7,585 ",0.319,40.6
19060,Cumberland, MD-WV," 3,662 ",0.369,43.4
19100,Dallas-Fort Worth-Arlington, TX," 178,655 ",0.339,40.9
19140,Dalton, GA," 4,331 ",0.368,37.4
19180,Danville, IL," 3,380 ",0.399,40.8
19300,Daphne-Fairhope-Foley, AL," 5,061 ",0.336,39.6
19340,Davenport-Moline-Rock Island, IA-IL," 15,733 ",0.361,43.5
19380,Dayton, OH," 31,002 ",0.406,37.2
19460,Decatur, AL," 5,716 ",0.354,39.2
19500,Decatur, IL," 4,635 ",0.431,39.5
19660,Deltona-Daytona Beach-Ormond Beach, FL," 13,975 ",0.296,39.7
19740,Denver-Aurora-Lakewood, CO," 70,521 ",0.305,41.7
19780,Des Moines-West Des Moines, IA," 17,445 ",0.360,44.4
19820,Detroit-Warren-Dearborn, MI," 157,018 ",0.363,37.3
20020,Dothan, AL," 5,275 ",0.411,38.1
20100,Dover, DE," 4,738 ",0.370,39.7
20220,Dubuque, IA," 3,900 ",0.276,52.7
20260,Duluth, MN-WI," 11,221 ",0.337,44.8
20500,Durham-Chapel Hill, NC," 11,705 ",0.374,35.2
20700,East Stroudsburg, PA," 4,949 ",0.272,44.4
20740,Eau Claire, WI," 5,638 ",0.296,47.3
20940,El Centro, CA," 6,048 ",0.220,44.0
21060,Elizabethtown-Fort Knox, KY," 5,675 ",0.334,41.8
21140,Elkhart-Goshen, IN," 7,281 ",0.341,41.0
21300,Elmira, NY," 3,501 ",0.409,41.0
21340,El Paso, TX," 28,544 ",0.212,44.3
21500,Erie, PA," 11,095 ",0.376,42.2
21660,Eugene, OR," 11,462 ",0.299,39.7
21780,Evansville, IN-KY," 11,646 ",0.415,40.5
21820,Fairbanks, AK," 3,491 ",0.263,45.0
22020,Fargo, ND-MN," 6,280 ",0.301,49.3
22140,Farmington, NM," 6,156 ",0.319,40.3
22180,Fayetteville, NC," 12,405 ",0.346,35.6
22220,Fayetteville-Springdale-Rogers, AR-MO," 11,770 ",0.313,43.2
22380,Flagstaff, AZ," 5,013 ",0.278,39.5
22420,Flint, MI," 18,479 ",0.345,35.4
22500,Florence, SC," 8,228 ",0.407,35.9
22520,Florence-Muscle Shoals, AL," 5,168 ",0.372,40.8
22540,Fond du Lac, WI," 3,847 ",0.337,48.3
22660,Fort Collins, CO," 8,610 ",0.246,45.4
22900,Fort Smith, AR-OK," 9,841 ",0.333,42.1
23060,Fort Wayne, IN," 15,738 ",0.393,39.6
23420,Fresno, CA," 28,524 ",0.308,40.8
23460,Gadsden, AL," 3,580 ",0.395,39.3
23540,Gainesville, FL," 7,436 ",0.361,38.4
23580,Gainesville, GA," 4,328 ",0.334,39.1
23900,Gettysburg, PA," 3,313 ",0.275,48.6
24020,Glens Falls, NY," 4,689 ",0.308,43.3
24140,Goldsboro, NC," 4,192 ",0.383,37.6
24220,Grand Forks, ND-MN," 4,177 ",0.273,50.3
24260,Grand Island, NE," 3,384 ",0.288,50.3
24300,Grand Junction, CO," 4,515 ",0.261,46.6
24340,Grand Rapids-Wyoming, MI," 37,794 ",0.378,40.4
24420,Grants Pass, OR," 2,781 ",0.312,40.7
24500,Great Falls, MT," 3,292 ",0.271,45.8
24540,Greeley, CO," 6,270 ",0.311,44.3
24580,Green Bay, WI," 10,612 ",0.323,46.7
24660,Greensboro-High Point, NC," 20,689 ",0.388,36.3
24780,Greenville, NC," 4,297 ",0.427,35.2
24860,Greenville-Anderson-Mauldin, SC," 25,077 ",0.378,37.1
25060,Gulfport-Biloxi-Pascagoula, MS," 13,861 ",0.343,38.4
25180,Hagerstown-Martinsburg, MD-WV," 7,122 ",0.374,41.6
25220,Hammond, LA," 4,608 ",0.406,39.2
25260,Hanford-Corcoran, CA," 4,366 ",0.269,42.2
25420,Harrisburg-Carlisle, PA," 18,366 ",0.373,42.7
25500,Harrisonburg, VA," 3,381 ",0.318,43.8
25540,Hartford-West Hartford-East Hartford, CT," 35,753 ",0.373,42.3
25620,Hattiesburg, MS," 5,228 ",0.375,39.7
25860,Hickory-Lenoir-Morganton, NC," 11,300 ",0.412,35.8
25940,Hilton Head Island-Bluffton-Beaufort, SC," 4,164 ",0.345,36.1
