,primary_city,latitude,longitude
0,Aaronsburg,40.86,-77.39
1,Abbeville,34.5,-89.5
2,Abbot,45.18,-69.45
3,Abbotsford,44.94,-90.31
4,Abbott,31.88,-97.07
5,Abbottstown,39.88,-76.98
6,Abbyville,37.97,-98.2
7,Abell,38.25,-76.74
8,Abercrombie,46.44,-96.72
9,Aberdeen,46.88,-123.99
10,Aberdeen Proving Ground,39.47,-76.13
11,Abernant,33.26,-87.16
12,Abernathy,33.83,-101.84
13,Abie,41.33,-96.94
14,Abilene,38.92,-97.22
15,Abingdon,40.8,-90.4
16,Abington,42.11,-70.95
17,Abiquiu,36.2,-106.31
18,Abita Springs,30.47,-90.03
19,Abrams,44.78,-88.06
20,Absaraka,46.97,-97.39
21,Absarokee,45.5,-109.56
22,Absecon,39.48,-74.47
23,Acampo,38.19,-121.25
24,Accident,39.62,-79.32
25,Accokeek,38.67,-77.01
26,Accomac,37.71,-75.66
27,Accord,42.17,-70.88
28,Accoville,37.78,-81.85
29,Ace,30.54,-94.79
30,Achille,33.83,-96.38
31,Achilles,37.28,-76.44
32,Ackerly,32.52,-101.71
33,Ackerman,33.31,-89.17
34,Ackermanville,40.84,-75.17
35,Ackley,42.55,-93.05
36,Ackworth,41.36,-93.47
37,Acme,48.7,-122.19
38,Acosta,40.1,-79.04
39,Acra,42.33,-74.09
40,Acton,45.98,-108.68
41,Acushnet,41.68,-70.9
42,Acworth,43.21,-72.29
43,Ada,47.29,-96.51
44,Adah,39.88,-79.89
45,Adair,41.5,-94.64
46,Adairsville,34.36,-84.91
47,Adairville,36.66,-86.85
48,Adak,51.9,-176.67
49,Adamant,44.35,-72.5
50,Adams,48.41,-98.07
51,Adams Basin,43.19,-77.86
52,Adamsburg,40.31,-79.65
53,Adams Center,43.85,-75.99
54,Adams Run,32.72,-80.34
55,Adamstown,40.24,-76.06
56,Adamsville,41.51,-71.16
57,Addieville,38.39,-89.48
58,Addington,34.24,-97.96
59,Addis,30.35,-91.26
60,Addison,45.08,-67.46
61,Addy,48.32,-117.91
62,Addyston,39.13,-84.71
63,Adel,42.1,-119.85
64,Adelanto,34.66,-117.51
65,Adell,43.62,-87.94
66,Adelphi,39.46,-82.74
67,Adelphia,40.21,-74.25
68,Adena,40.21,-80.87
69,Adger,33.42,-87.19
70,Adin,41.15,-120.89
71,Adirondack,43.72,-73.77
