zip_code,lat,lng,temp,pressure,humidity,wind_speed,clouds
00501,40.8154,-73.0451,8.86,1008,51,9.26,100
00602,18.38,-67.18,28.18,1012,73,4.63,75
00601,18.16,-66.72,23.8,911,75,2.24,100
00544,40.8154,-73.0451,8.82,1008,51,9.26,100
00603,18.43,-67.15,27.92,1013,72,4.63,75
00623,18.08,-67.14,27.71,1014,74,3.13,100
00605,18.43,-67.15,27.92,1013,72,4.63,75
00624,18.06,-66.72,26.79,1015,76,4.02,100
00631,18.19,-66.82,23.72,911,71,2.24,100
00627,18.48,-66.84,27.92,1014,77,3.64,92
00604,18.43,-67.15,27.92,1013,72,4.63,75
00641,18.27,-66.7,26.06,911,75,2.24,100
00636,18.15,-67.06,27.04,1014,74,1.33,100
00606,18.18,-66.98,24.79,1015,73,3.58,100
00610,18.28,-67.14,28.2,1014,74,2.24,99
00616,18.42,-66.67,26.67,1014,77,3.5,96
00638,18.33,-66.47,27.37,1014,76,1.96,93
00637,18.08,-66.96,27.03,1015,75,3.58,100
00612,18.45,-66.73,27.14,1014,78,3.65,99
00613,18.45,-66.73,27.14,1014,78,3.65,99
00614,18.45,-66.73,27.14,1014,78,3.65,99
00652,18.45,-66.6,27.49,1014,76,4.67,91
00617,18.45,-66.56,27.81,1014,76,4.98,88
00622,17.99,-67.15,27.35,1014,74,7.15,100
00611,18.28,-66.79,24.11,911,67,2.24,100
00650,18.36,-66.56,26.1,1014,83,2.51,94
00662,18.5,-67.02,28.43,1015,65,4.63,75
00653,17.99,-66.89,27.35,1014,76,5.85,99
00646,18.47,-66.27,29.3,1013,73,7.72,40
00647,17.96,-66.94,27.41,1014,77,6.41,99
00659,18.48,-66.82,27.74,1014,77,3.71,94
00674,18.43,-66.48,27.9,1014,76,4.88,85
00656,18.02,-66.79,27.46,1015,76,4.02,100
00664,18.22,-66.59,24.11,957,77,0.89,100
00670,18.27,-67.06,27.06,1014,74,1.98,99
00660,18.14,-67.12,27.81,1013,73,2.24,100
00667,18.04,-67.06,27.49,1015,74,5.81,100
00685,18.33,-66.99,27.74,1014,69,1.09,93
00680,18.2,-67.14,28.02,1013,73,2.24,100
00669,18.29,-66.88,25.43,1014,67,1.0,98
