us_zip_code,type,primary_city,state,latitude,longitude,county,timezone,area_codes,country,estmiated_population,created_at,updated_at
501,UNIQUE,Holtsville,NY,40.81,-73.04,Suffolk County,America/New_York,631,US,384,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
602,STANDARD,Aguada,PR,18.38,-67.18,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
601,STANDARD,Adjuntas,PR,18.16,-66.72,Adjuntas,America/Puerto_Rico,787939,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
544,UNIQUE,Holtsville,NY,40.81,-73.04,Suffolk County,America/New_York,631,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
603,STANDARD,Aguadilla,PR,18.43,-67.15,Aguadilla,America/Puerto_Rico,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
623,STANDARD,Cabo Rojo,PR,18.08,-67.14,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
605,PO BOX,Aguadilla,PR,18.43,-67.15,NA,NA,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
624,STANDARD,Penuelas,PR,18.06,-66.72,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
631,PO BOX,Castaner,PR,18.19,-66.82,NA,NA,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
627,STANDARD,Camuy,PR,18.48,-66.84,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
604,PO BOX,Aguadilla,PR,18.43,-67.15,NA,NA,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
641,STANDARD,Utuado,PR,18.27,-66.7,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
636,PO BOX,Rosario,PR,18.15,-67.06,NA,NA,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
606,STANDARD,Maricao,PR,18.18,-66.98,Maricao,America/Puerto_Rico,787939,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
610,STANDARD,Anasco,PR,18.28,-67.14,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
616,STANDARD,Bajadero,PR,18.4,-66.66,Arecibo,America/Puerto_Rico,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
638,STANDARD,Ciales,PR,18.33,-66.47,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
637,STANDARD,Sabana Grande,PR,18.08,-66.96,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
612,STANDARD,Arecibo,PR,18.45,-66.73,Arecibo,America/Puerto_Rico,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
613,PO BOX,Arecibo,PR,18.45,-66.73,NA,NA,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
614,PO BOX,Arecibo,PR,18.45,-66.73,NA,NA,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
652,STANDARD,Garrochales,PR,18.45,-66.6,Arecibo,America/Puerto_Rico,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
617,STANDARD,Barceloneta,PR,18.45,-66.53,Barceloneta,America/Puerto_Rico,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
622,STANDARD,Boqueron,PR,17.99,-67.15,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
611,PO BOX,Angeles,PR,18.28,-66.79,NA,NA,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
650,STANDARD,Florida,PR,18.36,-66.56,NA,NA,787939,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
662,STANDARD,Isabela,PR,18.5,-67.02,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
653,STANDARD,Guanica,PR,17.97,-66.93,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
646,STANDARD,Dorado,PR,18.47,-66.27,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
647,STANDARD,Ensenada,PR,17.96,-66.94,NA,NA,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
659,STANDARD,Hatillo,PR,18.48,-66.82,NA,NA,NA,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
674,STANDARD,Manati,PR,18.43,-66.48,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
656,STANDARD,Guayanilla,PR,18.02,-66.79,NA,NA,787,US,0,2020-02-11T17:24:49.491Z,2020-02-11T17:24:49.491Z
664,STANDARD,Jayuya,PR,18.22,-66.59,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
670,STANDARD,Las Marias,PR,18.27,-67.06,NA,NA,787939,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
660,STANDARD,Hormigueros,PR,18.14,-67.12,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
667,STANDARD,Lajas,PR,18.04,-67.06,NA,NA,787939,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
685,STANDARD,San Sebastian,PR,18.33,-66.99,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
680,STANDARD,Mayaguez,PR,18.2,-67.14,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
669,STANDARD,Lares,PR,18.29,-66.88,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
694,PO BOX,Vega Baja,PR,18.44,-66.39,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
676,STANDARD,Moca,PR,18.39,-67.11,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
677,STANDARD,Rincon,PR,18.34,-67.25,NA,NA,787939,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
693,STANDARD,Vega Baja,PR,18.44,-66.39,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
678,STANDARD,Quebradillas,PR,18.47,-66.93,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
682,STANDARD,Mayaguez,PR,18.2,-67.14,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
690,STANDARD,San Antonio,PR,18.49,-67.09,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
688,STANDARD,Sabana Hoyos,PR,18.38,-66.62,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
698,STANDARD,Yauco,PR,18.03,-66.86,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
692,STANDARD,Vega Alta,PR,18.41,-66.32,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
681,PO BOX,Mayaguez,PR,18.2,-67.14,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
703,STANDARD,Aguas Buenas,PR,18.25,-66.1,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
687,STANDARD,Morovis,PR,18.32,-66.4,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
683,STANDARD,San German,PR,18.08,-67.04,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
719,STANDARD,Naranjito,PR,18.3,-66.24,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
715,STANDARD,Mercedita,PR,18.0,-66.56,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
731,STANDARD,Ponce,PR,17.98,-66.6,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
734,PO BOX,Ponce,PR,17.98,-66.6,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
716,STANDARD,Ponce,PR,17.98,-66.6,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
714,STANDARD,Arroyo,PR,17.97,-66.06,NA,NA,787939,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
707,STANDARD,Maunabo,PR,18.0,-65.9,NA,NA,787939,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
704,STANDARD,Aguirre,PR,17.96,-66.22,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
727,STANDARD,Caguas,PR,18.23,-66.03,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
717,STANDARD,Ponce,PR,17.98,-66.6,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
718,STANDARD,Naguabo,PR,18.21,-65.73,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
730,STANDARD,Ponce,PR,17.98,-66.6,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
705,STANDARD,Aibonito,PR,18.14,-66.26,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
723,STANDARD,Patillas,PR,18.0,-66.01,Patillas,America/Puerto_Rico,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
741,STANDARD,Punta Santiago,PR,18.15,-65.76,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
729,STANDARD,Canovanas,PR,18.37,-65.9,Can���_vanas,America/Puerto_Rico,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
721,PO BOX,Palmer,PR,18.37,-65.77,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
726,PO BOX,Caguas,PR,18.23,-66.03,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
737,PO BOX,Cayey,PR,18.11,-66.16,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
725,STANDARD,Caguas,PR,18.23,-66.03,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
751,STANDARD,Salinas,PR,17.97,-66.29,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
720,STANDARD,Orocovis,PR,18.22,-66.39,NA,NA,787939,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
742,PO BOX,Roosevelt Roads,PR,18.27,-65.65,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
728,STANDARD,Ponce,PR,17.98,-66.6,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
735,STANDARD,Ceiba,PR,18.26,-65.64,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
732,PO BOX,Ponce,PR,17.98,-66.6,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
736,STANDARD,Cayey,PR,18.11,-66.16,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
740,STANDARD,Puerto Real,PR,18.33,-65.63,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
733,PO BOX,Ponce,PR,17.98,-66.6,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
738,STANDARD,Fajardo,PR,18.33,-65.65,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
766,STANDARD,Villalba,PR,18.13,-66.48,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
772,STANDARD,Loiza,PR,18.43,-65.88,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
757,STANDARD,Santa Isabel,PR,17.97,-66.4,Santa Isabel,America/Puerto_Rico,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
782,STANDARD,Comerio,PR,18.22,-66.22,NA,NA,787,US,0,2020-02-11T17:24:49.493Z,2020-02-11T17:24:49.493Z
739,STANDARD,Cidra,PR,18.17,-66.15,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
769,STANDARD,Coamo,PR,18.08,-66.36,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
744,PO BOX,Rio Blanco,PR,18.22,-65.79,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
778,STANDARD,Gurabo,PR,18.25,-65.97,NA,NA,787,US,0,2020-02-11T17:24:49.493Z,2020-02-11T17:24:49.493Z
754,STANDARD,San Lorenzo,PR,18.19,-65.96,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
767,STANDARD,Yabucoa,PR,18.04,-65.87,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
765,STANDARD,Vieques,PR,18.42,-65.83,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
780,STANDARD,Coto Laurel,PR,18.09,-66.57,NA,NA,787939,US,0,2020-02-11T17:24:49.493Z,2020-02-11T17:24:49.493Z
771,STANDARD,Las Piedras,PR,18.18,-65.86,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
777,STANDARD,Juncos,PR,18.22,-65.91,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
745,STANDARD,Rio Grande,PR,18.38,-65.83,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
775,PO BOX,Culebra,PR,18.31,-65.3,NA,NA,NA,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
773,STANDARD,Luquillo,PR,18.37,-65.71,NA,NA,787,US,0,2020-02-11T17:24:49.492Z,2020-02-11T17:24:49.492Z
783,STANDARD,Corozal,PR,18.34,-66.31,NA,NA,787,US,0,2020-02-11T17:24:49.562Z,2020-02-11T17:24:49.562Z
784,STANDARD,Guayama,PR,17.97,-66.11,NA,NA,787939,US,0,2020-02-11T17:24:49.562Z,2020-02-11T17:24:49.562Z
840,STANDARD,Frederiksted,VI,17.71,-64.88,NA,NA,340,US,0,2020-02-11T17:24:49.563Z,2020-02-11T17:24:49.563Z
908,PO BOX,San Juan,PR,18.4,-66.06,NA,NA,NA,US,0,2020-02-11T17:24:49.563Z,2020-02-11T17:24:49.563Z
794,STANDARD,Barranquitas,PR,18.18,-66.3,NA,NA,787,US,0,2020-02-11T17:24:49.562Z,2020-02-11T17:24:49.562Z
791,STANDARD,Humacao,PR,18.15,-65.81,NA,NA,787,US,0,2020-02-11T17:24:49.562Z,2020-02-11T17:24:49.562Z
785,PO BOX,Guayama,PR,17.97,-66.11,NA,NA,NA,US,0,2020-02-11T17:24:49.562Z,2020-02-11T17:24:49.562Z
831,PO BOX,St John,VI,18.33,-64.79,NA,NA,NA,US,0,2020-02-11T17:24:49.563Z,2020-02-11T17:24:49.563Z
802,STANDARD,St Thomas,VI,18.35,-64.93,NA,NA,340,US,0,2020-02-11T17:24:49.562Z,2020-02-11T17:24:49.562Z
803,PO BOX,St Thomas,VI,18.35,-64.93,NA,NA,NA,US,0,2020-02-11T17:24:49.562Z,2020-02-11T17:24:49.562Z
792,PO BOX,Humacao,PR,18.15,-65.81,NA,NA,NA,US,0,2020-02-11T17:24:49.562Z,2020-02-11T17:24:49.562Z
786,PO BOX,La Plata,PR,18.16,-66.23,Aibonito,America/Puerto_Rico,NA,US,0,2020-02-11T17:24:49.562Z,2020-02-11T17:24:49.562Z
