zip,cbsa
00683,41900
00683,32420
00923,41980
01010,44140
01010,49340
01257,38340
01267,38340
01331,49340
01331,44140
01339,44140
01469,14460
02027,14460
02120,14460
02128,14460
02199,14460
02361,14460
02664,12700
02668,12700
02648,12700
02739,14460
02895,39300
03281,31700
03281,18180
03743,30100
03592,13620
03605,30100
03886,99999
03884,14460
04357,12300
04357,38860
04649,99999
04627,99999
04562,38860
04921,12620
04921,99999
04548,38860
05038,30100
05474,15540
05679,30100
05651,12740
05763,40860
05738,40860
05874,99999
06042,25540
06052,25540
06010,45860
06010,25540
05905,99999
06060,25540
06078,25540
06108,25540
06468,14860
06787,45860
06880,14860
06907,14860
07010,35620
07110,35620
07462,35620
07645,35620
07607,35620
07758,35620
07849,35620
08046,37980
08099,37980
08401,12100
08559,35620
08820,35620
08880,35620
10005,35620
10004,35620
10038,35620
10110,35620
11210,35620
11354,35620
11358,35620
11352,35620
11375,35620
11553,35620
11716,35620
11756,35620
11950,35620
10537,35620
10595,35620
10916,39100
10952,35620
12037,26460
12180,10580
12139,99999
12086,11220
12086,24100
12086,10580
12115,26460
12066,10580
12066,11220
12205,10580
12474,99999
12786,99999
12845,24020
12832,24020
12944,99999
12944,38460
12989,31660
12989,99999
13478,46540
13761,13780
14086,15380
14212,15380
14560,40380
14513,40380
14616,40380
14621,40380
14903,21300
15076,38300
15139,38300
15222,38300
15225,38300
15214,38300
15442,38300
15344,99999
15563,43740
15642,38300
15771,26860
15681,38300
15681,26860
15943,27780
16120,35260
16120,38300
16115,38300
16827,44300
17024,25420
17020,25420
17065,25420
17201,16540
17560,29540
17569,29540
17569,39740
17702,48700
17845,30260
17961,39060
18072,10900
18070,37980
18070,39740
18902,37980
18912,37980
19061,37980
19138,37980
19153,37980
19150,37980
19440,37980
19938,20100
19938,37980
20019,47900
20693,47900
20676,47900
20764,12580
20818,47900
21044,12580
21050,12580
21218,12580
21403,12580
21555,19060
21797,12580
21797,47900
21784,12580
21801,41540
22015,47900
22313,47900
22307,47900
22432,99999
22727,47900
22812,25500
22812,44420
22824,99999
22830,25500
22974,16820
22974,99999
22959,16820
23607,47260
23701,47260
23666,47260
23936,99999
24013,40220
23976,99999
24104,31340
24245,28700
24314,14140
24505,31340
24651,14140
24715,14140
27292,49180
27292,24660
27529,39580
27532,24140
27824,99999
27832,40260
27801,40580
27882,40580
27882,39580
27870,40260
28082,16740
28133,16740
28164,16740
28282,16740
28311,22180
28343,29900
28728,11700
28693,99999
28650,16740
28650,25860
28432,99999
28420,34820
28777,32000
28777,99999
28786,11700
28746,22580
28746,99999
28745,11700
29133,36700
29105,17900
29105,12260
29620,99999
29845,12260
29845,99999
29565,99999
29565,13500
29530,22500
29547,99999
29580,99999
29403,16700
29372,46420
29372,43900
29372,23500
29437,16700
29223,17900
29210,17900
29325,24860
29168,44940
29481,99999
29456,16700
29453,16700
29935,25940
29918,99999
29924,99999
30185,12060
30309,12060
30312,12060
30132,12060
30035,12060
30223,12060
30228,12060
30703,15660
30635,99999
30630,12020
30521,99999
30411,20140
30411,99999
32046,27260
39846,99999
39866,99999
31823,17980
31699,46660
31703,10500
31791,10500
31744,10500
31744,34220
31744,99999
32209,27260
32505,37860
34482,36100
33037,28580
32778,36740
32792,36740
32643,23540
32643,29380
32563,37860
32539,18880
33015,33100
34949,38940
33193,33100
33140,33100
33144,33100
33146,33100
33238,33100
33610,45300
33635,45300
32968,42680
32931,37340
33556,45300
33543,45300
35049,13820
35042,99999
35042,13820
35063,27530
35063,13820
34292,35840
34112,34940
33993,15980
33973,15980
35097,13820
35801,26620
36037,99999
36066,33860
36016,20020
36016,21640
35640,19460
35645,22520
35621,19460
35621,18980
35740,42460
35406,46220
35960,99999
35963,22840
35554,99999
35554,27530
35548,99999
36108,33860
36250,11500
38632,32820
38856,46180
36861,10760
36475,12120
36475,99999
36502,99999
36502,12120
36502,19300
38778,26940
36551,19300
36611,33660
39152,99999
39159,99999
39661,35020
39661,99999
39555,25060
39465,29860
39465,25620
37190,34980
37190,32660
37804,28940
37841,99999
37829,28940
38006,15140
38006,27180
37338,16860
37338,19420
37338,99999
37313,99999
37320,17420
37310,17420
37882,28940
37414,16860
37618,28700
25520,26580
25520,38580
25438,47900
26148,99999
24739,14140
24860,99999
24870,99999
25260,38580
25235,16620
25235,99999
38358,99999
38358,27180
38463,29980
38463,99999
25601,34350
25529,16620
38559,99999
26610,99999
41004,99999
41004,17140
40927,99999
40856,33180
40862,99999
42025,34660
42025,32460
42025,99999
41826,99999
41723,99999
40507,30460
40040,99999
40152,99999
40342,23180
40342,99999
40342,31140
40291,31140
40390,30460
40359,99999
42217,17300
44142,17460
44231,10420
44231,17460
44231,49660
43430,23380
43430,45780
43504,45780
42372,16420
42372,36980
42629,99999
43619,45780
44276,49300
44699,99999
44699,35420
44699,15740
43030,18140
44507,49660
43113,18140
43140,44220
43140,18140
45224,17140
45415,19430
45601,27160
45601,99999
45601,17060
45202,17140
45118,99999
45118,17140
43205,18140
43844,34540
43844,18740
45053,17140
45619,26580
46311,16980
46327,16980
46565,99999
46565,21140
46574,38500
46574,33140
46574,43780
46574,99999
46037,26900
46405,16980
46214,26900
46176,26900
46176,99999
46224,26900
46180,26900
46776,99999
46776,11420
47613,99999
47613,21780
47575,27540
48030,19820
47424,99999
47424,14020
47558,47780
47167,31140
46962,47700
46962,23060
46962,47340
46975,38500
46975,37940
46975,47700
46975,99999
47020,99999
46988,30900
46988,99999
47987,99999
47340,99999
49221,10300
49254,27100
49241,25880
49241,27100
49229,10300
49229,33780
49229,11460
48301,19820
48169,11460
48169,19820
48152,19820
48206,19820
