zipcode,state,total_pop,avg_income
0,AK,345220,73445.84
99501,AK,7690,79615.34
99502,AK,11860,84374.79
99503,AK,7510,61570.44
99504,AK,19440,60499.43
99505,AK,2280,42041.67
99506,AK,2950,41770.85
99507,AK,18470,81524.58
99508,AK,15170,58087.21
99515,AK,11140,97081.33
99516,AK,9780,155935.07
99517,AK,8060,83134.37
99518,AK,5190,69427.55
99540,AK,160,76118.75
99556,AK,1080,58462.96
99559,AK,3090,61618.77
99567,AK,4160,84334.13
99568,AK,130,65076.92
99572,AK,220,66618.18
99573,AK,440,51961.36
99577,AK,12770,94125.76
99586,AK,230,48691.3
99588,AK,660,61596.97
99603,AK,5550,70630.09
99610,AK,1080,70375.0
99611,AK,6450,70488.06
99615,AK,6250,64086.08
99631,AK,140,70800.0
99639,AK,610,60742.62
99645,AK,13180,75391.05
99654,AK,15060,73455.91
99664,AK,2260,64704.87
99669,AK,7680,79739.84
99672,AK,1630,72597.55
99674,AK,690,57392.75
99676,AK,960,58205.21
99686,AK,2000,85171.0
99688,AK,1320,59090.91
99701,AK,8110,58197.29
99702,AK,1290,44655.81
99703,AK,3320,39828.92
99705,AK,9040,69635.51
99709,AK,10920,77753.57
99712,AK,4420,83079.64
99714,AK,450,68064.44
99737,AK,1840,66305.43
99743,AK,600,75793.33
99760,AK,320,62771.88
99780,AK,800,52762.5
99801,AK,12210,76521.87
99824,AK,1130,80381.42
99827,AK,1270,69940.94
99833,AK,1700,67335.88
99835,AK,4470,70781.66
99901,AK,6280,69699.2
99999,AK,69840,64473.32
0,AL,2036290,61620.92
35004,AL,5200,58128.65
35005,AL,3190,40926.33
35006,AL,1240,52750.81
35007,AL,12050,61695.52
35010,AL,7840,52348.6
35014,AL,1600,49988.12
35016,AL,7210,53402.64
35019,AL,890,49962.92
35020,AL,8950,28403.69
35022,AL,10170,58743.17
35023,AL,10120,49501.98
35031,AL,2960,44918.24
35033,AL,1370,57230.66
35034,AL,1310,41089.31
35035,AL,570,89075.44
35040,AL,7880,57311.42
35042,AL,2240,48769.64
35043,AL,5610,88507.49
35044,AL,3110,44936.01
35045,AL,5570,50124.42
35046,AL,2320,62284.91
35049,AL,1570,53883.44
35051,AL,3420,66096.49
35053,AL,1100,73270.91
35054,AL,1780,74426.97
35055,AL,8060,56088.59
35057,AL,5330,58688.93
35058,AL,4230,55726.48
35061,AL,620,36530.65
35062,AL,3220,59292.24
35063,AL,1220,45713.11
35064,AL,4060,35662.32
35068,AL,3840,51800.26
35071,AL,7600,66141.45
35072,AL,1790,40127.37
35073,AL,940,38845.74
35077,AL,5300,44716.98
35078,AL,940,60101.06
35079,AL,3570,55485.99
35080,AL,8270,75661.43
35083,AL,1170,48987.18
35085,AL,3400,47892.35
35087,AL,830,43113.25
35089,AL,740,35394.59
35091,AL,1330,72163.91
35094,AL,6330,60978.2
35096,AL,3450,54348.41
35097,AL,760,49214.47
35098,AL,560,45500.0
35111,AL,7290,65983.26
35114,AL,3160,68593.99
35115,AL,5350,47565.05
35116,AL,2040,66707.35
35117,AL,2710,66440.96
35118,AL,1320,49397.73
35120,AL,6370,57172.21
35121,AL,5880,54885.03
35124,AL,11830,84924.09
35125,AL,4460,46093.95
35126,AL,9540,53563.52
35127,AL,4350,52184.37
35128,AL,4360,65449.77
35130,AL,1250,45804.8
35131,AL,1570,43672.61
35133,AL,1680,51035.71
35135,AL,810,58060.49
35136,AL,660,51110.61
35143,AL,1240,58530.65
35146,AL,4620,69816.88
35147,AL,2330,76815.02
35148,AL,1080,44792.59
35150,AL,7000,44322.57
