zipcode,state,avg_income
1001,MA,60019
1002,MA,93048
1005,MA,62206
1007,MA,79230
1008,MA,70767
1010,MA,77056
1011,MA,57567
1012,MA,69994
1013,MA,43693
1020,MA,50640
1022,MA,46513
1026,MA,61162
1027,MA,63800
1028,MA,93798
1030,MA,67843
1031,MA,48738
1032,MA,57650
1033,MA,72400
1034,MA,73199
1035,MA,75994
1036,MA,86152
1038,MA,81485
1039,MA,87498
1040,MA,46461
1050,MA,61313
1053,MA,77192
1054,MA,99111
1056,MA,66739
1057,MA,70472
1060,MA,83411
1062,MA,88228
1068,MA,76669
1069,MA,66762
1070,MA,56971
1071,MA,62825
1072,MA,73831
1073,MA,87150
1075,MA,74785
1077,MA,78153
1080,MA,46273
1081,MA,57832
1082,MA,54755
1085,MA,66181
1088,MA,62784
1089,MA,61158
1095,MA,107837
1096,MA,75743
1098,MA,67645
1103,MA,40176
1104,MA,36274
1105,MA,25339
1106,MA,170125
1107,MA,33580
1108,MA,37281
1109,MA,33300
1118,MA,52683
1119,MA,45179
1128,MA,59098
1129,MA,51609
1151,MA,35054
1201,MA,57618
1220,MA,48609
1222,MA,51253
1223,MA,72600
1225,MA,63544
1226,MA,72098
1230,MA,89385
1235,MA,64966
1236,MA,61515
1237,MA,71701
1238,MA,64680
1240,MA,115356
1245,MA,84795
1247,MA,46188
1253,MA,67918
1254,MA,139207
1255,MA,60711
1256,MA,57072
1257,MA,85597
1258,MA,104925
1259,MA,68424
1266,MA,109077
1267,MA,113059
1270,MA,70300
1301,MA,54437
1330,MA,68706
1331,MA,52100
1337,MA,63565
1338,MA,62166
1339,MA,58721
1340,MA,57917
1341,MA,93434
1342,MA,78969
1344,MA,52635
1346,MA,53173
1349,MA,48483
1351,MA,64524
1354,MA,63791
1355,MA,63438
1360,MA,63808
1364,MA,47782
1366,MA,77485
1367,MA,54517
1368,MA,65615
1370,MA,63384
1373,MA,79071
1375,MA,66780
1376,MA,44897
1378,MA,53215
1379,MA,50335
1420,MA,47901
1430,MA,81544
1431,MA,71580
1432,MA,75940
1434,MA,86881
1436,MA,53808
1440,MA,51613
1450,MA,150068
1451,MA,190423
1452,MA,80584
1453,MA,61518
1460,MA,118034
1462,MA,83781
1463,MA,84967
1464,MA,77901
1468,MA,65757
1469,MA,75733
1473,MA,81949
1474,MA,76370
1475,MA,56159
1501,MA,73172
1503,MA,107574
1504,MA,67722
1505,MA,136548
1506,MA,64061
1507,MA,82590
1510,MA,61076
1515,MA,68454
1516,MA,80834
1518,MA,109811
1519,MA,115747
1520,MA,99297
1521,MA,71059
1522,MA,87002
1523,MA,113957
1524,MA,68060
1527,MA,72497
1529,MA,66677
1531,MA,70800
1532,MA,144782
1534,MA,86435
1535,MA,60896
1536,MA,101900
1537,MA,61322
1540,MA,65431
1541,MA,114416
1542,MA,66300
1543,MA,81490
1545,MA,126228
1550,MA,46001
1560,MA,89184
1562,MA,63011
1564,MA,99213
1566,MA,96829
1568,MA,116107
1569,MA,79333
1570,MA,57930
1571,MA,64505
1581,MA,129324
1583,MA,83279
1585,MA,77316
1588,MA,73095
1590,MA,112597
1602,MA,62947
1603,MA,43417
1604,MA,49443
1605,MA,47022
1606,MA,61044
1607,MA,44227
1608,MA,46989
1609,MA,94879
1610,MA,32128
1611,MA,55072
1612,MA,96201
1701,MA,106651
1702,MA,64280
1718,MA,102333
1719,MA,132633
1720,MA,160462
1721,MA,110929
1730,MA,170270
1731,MA,69793
1740,MA,180892
1741,MA,343083
1742,MA,320734
1745,MA,97673
1746,MA,132856
1747,MA,87370
1748,MA,196311
1749,MA,82046
1752,MA,76542
1754,MA,88962
1756,MA,114974
1757,MA,73006
1760,MA,134182
1770,MA,432894
1772,MA,254363
1773,MA,379705
1775,MA,149427
1776,MA,278158
1778,MA,305229
1801,MA,82273
1803,MA,108412
1810,MA,204242
1821,MA,81013
1824,MA,119227
1826,MA,71521
1827,MA,128432
1830,MA,60216
1832,MA,57839
1833,MA,112760
1834,MA,88315
1835,MA,70410
1840,MA,30794
1841,MA,31192
1843,MA,39891
1844,MA,64236
1845,MA,135985
1850,MA,43374
1851,MA,49517
1852,MA,55456
1854,MA,46877
1860,MA,81554
1862,MA,84622
1863,MA,82056
1864,MA,133532
1867,MA,137503
1876,MA,85718
1879,MA,90530
1880,MA,102550
1886,MA,139988
1887,MA,96270
1890,MA,301544
1901,MA,37994
1902,MA,42084
1904,MA,63779
1905,MA,44958
1906,MA,72784
1907,MA,150515
1908,MA,151907
1913,MA,86904
1915,MA,102821
1921,MA,220682
1922,MA,119886
1923,MA,92826
1929,MA,153006
1930,MA,84739
1938,MA,121011
1940,MA,176622
1944,MA,303795
1945,MA,190329
1949,MA,132902
1950,MA,141345
1951,MA,185893
1952,MA,69134
1960,MA,71225
1966,MA,105949
1969,MA,102407
1970,MA,67095
1982,MA,175133
1983,MA,181237
1984,MA,228072
1985,MA,154960
2019,MA,75073
2021,MA,127326
2025,MA,294928
2026,MA,121308
2030,MA,490888
2032,MA,116484
2035,MA,108971
2038,MA,110210
2043,MA,269648
2045,MA,89953
2048,MA,101494
2050,MA,104242
2052,MA,214930
2053,MA,117234
2054,MA,96317
2056,MA,146802
2061,MA,214214
2062,MA,87832
2066,MA,152511
2067,MA,161093
2071,MA,113590
2072,MA,70170
2081,MA,122670
2090,MA,259674
2093,MA,119357
2108,MA,639537
2109,MA,392052
2110,MA,806318
2111,MA,251212
2113,MA,90548
2114,MA,170939
2115,MA,156631
2116,MA,643514
2118,MA,188066
2119,MA,42533
2120,MA,41204
2121,MA,34918
2122,MA,54436
2124,MA,49909
2125,MA,55406
2126,MA,42700
2127,MA,105786
2128,MA,54054
2129,MA,154009
2130,MA,97098
2131,MA,69462
2132,MA,103102
2134,MA,52883
2135,MA,63567
2136,MA,53152
2138,MA,226638
2139,MA,102142
2140,MA,115617
2141,MA,101105
2142,MA,192693
2143,MA,84477
2144,MA,93998
2145,MA,69176
2148,MA,57173
2149,MA,47428
2150,MA,44559
2151,MA,52683
2152,MA,78822
2155,MA,81064
2163,MA,108422
2169,MA,70721
2170,MA,64138
2171,MA,81404
2176,MA,112894
2180,MA,92017
2184,MA,91217
2186,MA,166651
2188,MA,72720
2189,MA,68237
2190,MA,82743
2191,MA,77716
2199,MA,708960
2210,MA,333336
2215,MA,96357
2301,MA,44087
2302,MA,46944
2322,MA,71369
2324,MA,84488
2330,MA,67698
2332,MA,191314
2333,MA,76927
2338,MA,73466
2339,MA,125908
2341,MA,79083
2343,MA,64943
2346,MA,66299
2347,MA,89685
2351,MA,76891
2356,MA,135043
2359,MA,90744
2360,MA,87298
2364,MA,95246
2367,MA,86759
2368,MA,57333
2370,MA,65416
2375,MA,93462
2379,MA,80937
2382,MA,67144
2420,MA,282291
2421,MA,292219
2445,MA,284645
2446,MA,190979
2451,MA,95364
2452,MA,96990
2453,MA,74937
2458,MA,210710
2459,MA,409796
2460,MA,185508
2461,MA,235013
2462,MA,164901
2464,MA,125058
2465,MA,341756
2466,MA,176054
2467,MA,383993
2468,MA,451825
2472,MA,94631
2474,MA,126648
2476,MA,142188
2478,MA,208735
2481,MA,633307
2482,MA,400978
2492,MA,322581
2493,MA,843457
2494,MA,186377
2532,MA,71794
2535,MA,165694
2536,MA,81650
2537,MA,106248
2538,MA,50513
2539,MA,90925
2540,MA,103844
2542,MA,46368
2543,MA,147504
2554,MA,101777
2556,MA,116891
2559,MA,84314
2562,MA,87457
2563,MA,86820
2568,MA,75055
2571,MA,62566
2576,MA,59961
2601,MA,46453
2630,MA,131172
2631,MA,84347
2632,MA,79173
2633,MA,157945
2635,MA,117545
2638,MA,91292
2639,MA,50233
2642,MA,77028
2644,MA,73500
2645,MA,74084
2646,MA,98595
2648,MA,80516
2649,MA,86859
2650,MA,116644
2653,MA,91268
2655,MA,151345
2657,MA,79424
2659,MA,82550
2660,MA,67603
2664,MA,61847
2667,MA,71657
2668,MA,96218
2670,MA,80719
2671,MA,82325
2673,MA,57069
2675,MA,87168
2702,MA,82615
2703,MA,68532
2715,MA,78575
2717,MA,77302
2718,MA,64490
2719,MA,65942
2720,MA,51332
2721,MA,39976
2723,MA,38356
2724,MA,39926
2725,MA,61991
2726,MA,70210
2738,MA,126321
2739,MA,119336
2740,MA,43317
2743,MA,69228
2744,MA,38387
2745,MA,51081
2746,MA,34581
2747,MA,77929
2748,MA,104922
2760,MA,85696
2762,MA,85952
2763,MA,94776
2764,MA,77069
2766,MA,86162
2767,MA,82802
2769,MA,103755
2770,MA,93279
2771,MA,83427
2777,MA,73887
2779,MA,81804
2780,MA,54657
2790,MA,82882
2804,RI,65523
2806,RI,184821
2808,RI,54661
2809,RI,80033
2812,RI,78931
2813,RI,85561
2814,RI,75530
2815,RI,71476
2816,RI,67850
2817,RI,87489
2818,RI,137830
2822,RI,85254
2825,RI,75161
2827,RI,74840
2828,RI,82269
2830,RI,70244
2831,RI,101590
2832,RI,70623
2833,RI,60070
2835,RI,168861
2837,RI,93299
2838,RI,52512
2839,RI,61735
2840,RI,84601
2842,RI,74938
2852,RI,97186
2857,RI,83657
2858,RI,63896
2859,RI,62045
2860,RI,40272
2861,RI,48289
2863,RI,30117
2864,RI,81453
2865,RI,103348
2871,RI,97903
2874,RI,124704
2875,RI,60216
2876,RI,65498
2878,RI,77945
2879,RI,93328
2881,RI,85739
2882,RI,116978
2885,RI,68576
2886,RI,72423
2888,RI,62911
2889,RI,61259
2891,RI,73358
2892,RI,83686
2893,RI,53284
2894,RI,58275
2895,RI,42277
2896,RI,81150
2898,RI,72320
2903,RI,112753
2904,RI,50834
2905,RI,47099
2906,RI,142586
2907,RI,30952
2908,RI,42243
2909,RI,32798
2910,RI,50089
2911,RI,55700
2914,RI,48300
2915,RI,57893
2916,RI,84074
2917,RI,81156
2919,RI,64382
2920,RI,61323
2921,RI,105691
3031,NH,137757
3032,NH,106720
3033,NH,107050
3034,NH,87629
3036,NH,93832
3037,NH,85966
3038,NH,69878
3042,NH,70166
3043,NH,82650
3044,NH,75952
3045,NH,76774
3046,NH,98066
3047,NH,69537
3048,NH,64030
3049,NH,169059
3051,NH,77185
3052,NH,89009
3053,NH,88487
3054,NH,86937
3055,NH,66160
3057,NH,115300
3060,NH,51965
3062,NH,94966
3063,NH,78949
3064,NH,72460
3070,NH,98510
3071,NH,72090
3076,NH,92959
3077,NH,65004
3079,NH,86841
3082,NH,81295
3084,NH,82167
3086,NH,77877
3087,NH,180060
3101,NH,80627
3102,NH,52421
3103,NH,47808
3104,NH,71170
3106,NH,79680
3109,NH,66903
3110,NH,156037
3216,NH,67877
3217,NH,59078
3218,NH,60837
3220,NH,57830
3221,NH,64800
3222,NH,63142
3223,NH,64829
3224,NH,88411
3225,NH,62473
3226,NH,143536
3227,NH,102564
3229,NH,112862
3230,NH,54857
3233,NH,186519
3234,NH,68435
3235,NH,47837
3237,NH,71804
3240,NH,52195
3241,NH,83453
3242,NH,76303
3243,NH,55116
3244,NH,57726
3245,NH,95862
3246,NH,68254
3249,NH,93026
3251,NH,79760
3253,NH,90110
3254,NH,139118
3255,NH,130633
3256,NH,69400
3257,NH,141556
3258,NH,76197
3259,NH,80782
3261,NH,66817
3262,NH,53127
3263,NH,54388
3264,NH,59276
3266,NH,51110
3268,NH,61989
3269,NH,76341
3275,NH,59767
3276,NH,53180
3278,NH,76036
3279,NH,41575
3280,NH,65011
3281,NH,70234
3282,NH,56600
3284,NH,73126
3285,NH,62265
3287,NH,88411
3290,NH,102334
3301,NH,71039
3303,NH,59030
3304,NH,116453
3307,NH,68135
3431,NH,72686
3440,NH,62892
3441,NH,44300
3442,NH,52134
3443,NH,81737
3444,NH,104408
3445,NH,66256
3446,NH,60817
3447,NH,64400
3448,NH,58712
3449,NH,97306
3450,NH,82012
3451,NH,49096
3452,NH,64406
3455,NH,65498
3456,NH,53263
3457,NH,80262
3458,NH,91611
3461,NH,79026
3462,NH,100041
3464,NH,70080
3465,NH,47843
3466,NH,91302
3467,NH,82071
3470,NH,51255
3561,NH,54563
3570,NH,41937
3574,NH,58842
3576,NH,54879
3579,NH,57268
3580,NH,111397
3581,NH,57853
3582,NH,42913
3583,NH,60323
3584,NH,62211
3585,NH,56480
3586,NH,100046
3588,NH,51467
3590,NH,38000
3592,NH,85208
3593,NH,87617
3598,NH,45967
3601,NH,57919
3602,NH,69302
3603,NH,51268
3605,NH,58972
3607,NH,52880
3608,NH,92553
3609,NH,53415
3740,NH,54735
3741,NH,62876
3743,NH,47912
3745,NH,78381
3748,NH,73343
3750,NH,430843
3752,NH,47540
3753,NH,110946
3755,NH,267118
3765,NH,54277
3766,NH,76740
3768,NH,222045
3770,NH,139054
3771,NH,60406
3773,NH,53204
3774,NH,54448
3777,NH,84482
3779,NH,59905
3780,NH,60740
3781,NH,94701
3782,NH,134850
3784,NH,87593
3785,NH,43559
3801,NH,134146
3809,NH,72293
3810,NH,92857
3811,NH,99260
3812,NH,47896
3813,NH,60367
3814,NH,49404
3816,NH,74338
3817,NH,64336
3818,NH,54757
3819,NH,77144
3820,NH,75115
3823,NH,137411
3824,NH,122476
3825,NH,77005
3826,NH,79373
3827,NH,98300
3830,NH,64296
3833,NH,102194
3835,NH,51876
3836,NH,72303
3837,NH,68947
3838,NH,77483
3839,NH,55933
3840,NH,121751
3841,NH,96563
3842,NH,98633
3844,NH,137284
3845,NH,72882
3846,NH,118418
3848,NH,77033
3849,NH,68636
3851,NH,58649
3852,NH,57831
3853,NH,94281
3855,NH,74540
3856,NH,135857
3857,NH,73811
3858,NH,80739
3860,NH,65626
3861,NH,103418
3862,NH,194093
3864,NH,52727
3865,NH,72518
3867,NH,53493
3868,NH,54510
3869,NH,74714
3870,NH,194177
3872,NH,63879
3873,NH,77303
3874,NH,73022
3875,NH,73306
3878,NH,55023
3882,NH,52580
3883,NH,48809
3884,NH,80060
3885,NH,127045
3886,NH,51228
3887,NH,57193
3890,NH,50770
3894,NH,104510
3901,ME,59029
3902,ME,93469
3903,ME,79033
3904,ME,71512
3905,ME,98654
3906,ME,67355
3907,ME,92504
3908,ME,72861
3909,ME,94088
4001,ME,60657
4002,ME,59218
4003,ME,78911
4005,ME,52273
4008,ME,64248
4009,ME,52622
4010,ME,50838
4011,ME,73222
4015,ME,57945
4017,ME,74819
4020,ME,50589
4021,ME,123811
4022,ME,56652
4024,ME,45351
4027,ME,54364
4029,ME,53381
4030,ME,56244
4032,ME,99185
4037,ME,48335
4038,ME,74643
4039,ME,66375
4040,ME,56769
4041,ME,43251
4042,ME,58652
4043,ME,89174
4046,ME,83410
4047,ME,45807
4048,ME,52875
4049,ME,52107
4050,ME,69827
4051,ME,58158
4055,ME,55334
4061,ME,54485
4062,ME,68928
4064,ME,55537
4066,ME,79817
4068,ME,42453
4069,ME,80898
4071,ME,81613
4072,ME,64366
4073,ME,48832
4074,ME,99844
4076,ME,57772
4079,ME,100832
4083,ME,51282
4084,ME,62531
4085,ME,56350
4086,ME,70245
4087,ME,53020
4088,ME,52854
4090,ME,72242
4091,ME,51475
4092,ME,52765
4093,ME,58323
4095,ME,46741
4096,ME,134357
4097,ME,105488
4101,ME,63957
4102,ME,73531
4103,ME,64677
4105,ME,166688
4106,ME,64262
4107,ME,160010
4108,ME,83226
4110,ME,256660
4210,ME,54046
4216,ME,43203
4217,ME,60838
4219,ME,49960
4220,ME,49267
4221,ME,42553
4222,ME,70285
4224,ME,47367
4231,ME,44115
4236,ME,56213
4237,ME,49931
4238,ME,56918
4239,ME,46440
4240,ME,46192
4250,ME,48765
4252,ME,50514
4253,ME,52481
4254,ME,37834
4255,ME,48868
4256,ME,46857
4257,ME,37539
4258,ME,65140
4259,ME,62131
4260,ME,67291
4261,ME,65454
4263,ME,52926
4265,ME,56316
4268,ME,49353
4270,ME,48770
4274,ME,60860
4275,ME,45945
4276,ME,42942
4280,ME,52105
4281,ME,42615
4282,ME,61629
4284,ME,66047
4285,ME,52647
4287,ME,57597
4289,ME,42036
4290,ME,50447
4292,ME,42629
4294,ME,51679
4330,ME,51166
4342,ME,56288
4344,ME,52478
4345,ME,53154
4346,ME,44197
4347,ME,65861
4348,ME,52989
4349,ME,61310
4350,ME,56166
4351,ME,86635
4352,ME,60666
4353,ME,49663
4354,ME,61814
4355,ME,67275
4357,ME,55138
4358,ME,57016
4360,ME,51651
4363,ME,49512
4364,ME,65840
4401,ME,57236
4406,ME,43758
4410,ME,42596
4411,ME,48425
4412,ME,62122
4414,ME,40939
4416,ME,45513
4417,ME,37600
4418,ME,40072
4419,ME,52965
4421,ME,84394
4422,ME,42639
4424,ME,37678
4426,ME,51796
4427,ME,49034
4428,ME,52236
4429,ME,73725
4430,ME,39280
4434,ME,45261
4435,ME,46292
4438,ME,40957
4441,ME,58478
4443,ME,45835
4444,ME,82224
4448,ME,41039
4449,ME,46477
4450,ME,45817
4453,ME,35445
4455,ME,45135
4456,ME,53760
4457,ME,49692
4459,ME,35222
4460,ME,38221
4461,ME,47128
4462,ME,43448
4463,ME,40638
4464,ME,43555
4468,ME,45695
4471,ME,37921
4472,ME,51783
4473,ME,61945
4474,ME,60653
4475,ME,43935
4476,ME,50277
4478,ME,53086
4479,ME,43194
4481,ME,49032
4487,ME,38389
4488,ME,48219
4493,ME,45576
4495,ME,44978
4496,ME,57171
4497,ME,38600
4530,ME,58147
4535,ME,64328
4537,ME,62827
4538,ME,55967
4539,ME,60917
4543,ME,61811
4544,ME,89420
4547,ME,53487
4548,ME,78517
4551,ME,70707
4553,ME,70523
4554,ME,64351
4555,ME,65816
4556,ME,62927
4558,ME,59587
4562,ME,70540
4563,ME,76107
4564,ME,92407
4568,ME,106021
4571,ME,75650
4572,ME,49907
4573,ME,70911
4574,ME,45359
4576,ME,84909
4578,ME,56563
4579,ME,69412
4605,ME,55290
4606,ME,47071
4607,ME,50948
4609,ME,72251
4612,ME,54016
4613,ME,44818
4614,ME,87473
4616,ME,78453
4617,ME,70113
4619,ME,46062
4622,ME,37805
4623,ME,43134
4626,ME,44635
4627,ME,67341
4628,ME,38535
4630,ME,47775
4631,ME,49100
4634,ME,44541
4640,ME,51502
4643,ME,40931
4648,ME,41382
4649,ME,45501
4650,ME,50725
4652,ME,42074
4653,ME,53003
4654,ME,46789
4655,ME,38873
4657,ME,50207
4658,ME,44355
4660,ME,93338
4664,ME,40968
4666,ME,43002
4667,ME,40077
4668,ME,43079
4669,ME,55593
4671,ME,56644
4674,ME,50470
4676,ME,78325
4677,ME,68376
4679,ME,69224
4680,ME,39124
4681,ME,53150
4684,ME,63115
4685,ME,51394
4691,ME,46355
4693,ME,68488
4694,ME,47000
4730,ME,46932
4732,ME,44019
4734,ME,43046
4735,ME,39950
4736,ME,50864
4739,ME,48990
4740,ME,48678
4742,ME,45655
4743,ME,53563
4745,ME,46017
4746,ME,42753
4747,ME,43572
4750,ME,38308
4756,ME,44502
4757,ME,56172
4758,ME,55263
4760,ME,40038
4761,ME,55188
4762,ME,48750
4763,ME,42953
4765,ME,39591
4766,ME,41668
4768,ME,45650
4769,ME,49345
4772,ME,52247
4773,ME,53281
4774,ME,36656
4776,ME,36615
4777,ME,35961
4779,ME,59033
4780,ME,43556
4781,ME,54527
4783,ME,49466
4785,ME,42613
4786,ME,41409
4787,ME,43425
4841,ME,47909
4843,ME,86588
4847,ME,68469
4848,ME,61567
4849,ME,69936
4853,ME,53339
4854,ME,61477
4856,ME,87208
4858,ME,57156
4859,ME,71461
4860,ME,63938
4861,ME,50512
4862,ME,60205
4863,ME,48381
4864,ME,50014
4901,ME,51251
4910,ME,52608
4911,ME,43196
4912,ME,43183
4915,ME,56079
4917,ME,79125
