﻿Overall Rank* ,City, State, Total Score ,Pet Budget ,Pet Health & Wellness ,Outdoor Pet-Friendliness 
1,Scottsdale, AZ,63,71,1,3
2,Tampa, FL,62,42,5,13
3,Orlando, FL,62,31,3,34
4,Las Vegas, NV,60,32,34,1
5,Birmingham, AL,60,9,15,77
6,St. Louis, MO,58,18,16,39
7,St. Petersburg, FL,58,42,9,29
8,Cincinnati, OH,58,19,20,38
9,San Diego, CA,57,92,2,8
10,New Orleans, LA,57,34,10,44
11,Pittsburgh, PA,57,22,46,20
12,Atlanta, GA,57,25,11,56
13,Boise, ID,56,38,48,12
14,Albuquerque, NM,56,16,83,7
15,Austin, TX,56,51,6,64
16,Denver, CO,56,60,7,31
17,Seattle, WA,56,70,18,11
18,Colorado Springs, CO,55,53,26,22
19,Portland, OR,55,76,21,4
20,Plano, TX,55,81,4,32
21,Lincoln, NE,54,4,67,69
22,Phoenix, AZ,54,40,63,19
23,Miami, FL,54,36,19,57
24,Omaha, NE,54,23,30,52
25,Sacramento, CA,54,83,14,17
26,Madison, WI,54,52,38,30
27,Tulsa, OK,54,15,58,50
28,Minneapolis, MN,53,63,25,25
29,Raleigh, NC,53,21,35,60
30,Tucson, AZ,53,48,42,40
31,North Las Vegas, NV,52,45,80,15
32,Oklahoma City, OK,52,7,61,85
33,St. Paul, MN,52,30,60,42
34,Nashville, TN,52,11,62,75
35,Fort Worth, TX,52,28,23,83
36,Houston, TX,52,27,43,66
37,Winston-Salem, NC,52,3,88,84
38,Irvine, CA,51,97,8,5
39,Corpus Christi, TX,51,10,78,87
40,Columbus, OH,51,2,95,54
41,Lexington-Fayette, KY,51,47,22,94
42,Louisville, KY,51,29,24,95
43,Indianapolis, IN,51,14,47,96
44,San Jose, CA,50,74,57,26
45,Fort Wayne, IN,50,1,65,100
46,Kansas City, MO,50,12,86,58
47,Memphis, TN,50,5,84,88
48,Chesapeake, VA,50,58,81,21
49,Glendale, AZ,50,46,49,71
50,Baton Rouge, LA,50,44,17,97
51,Jacksonville, FL,50,26,72,63
52,El Paso, TX,50,41,77,47
53,Riverside, CA,49,78,37,41
54,Greensboro, NC,49,13,68,72
55,Lubbock, TX,49,39,55,86
56,Henderson, NV,49,54,91,24
57,Gilbert, AZ,49,68,12,89
58,Oakland, CA,49,89,39,14
59,San Francisco, CA,49,99,29,2
60,Virginia Beach, VA,48,50,54,79
61,Washington, DC,48,91,41,9
62,Aurora, CO,48,64,28,68
63,Cleveland, OH,48,24,75,81
64,Chicago, IL,48,90,13,46
65,Reno, NV,48,49,50,80
66,Toledo, OH,48,6,93,59
67,Boston, MA,48,85,40,35
68,Long Beach, CA,48,93,27,18
69,Arlington, TX,48,66,45,67
70,Chula Vista, CA,48,87,31,36
71,San Antonio, TX,48,55,70,61
72,Dallas, TX,47,79,36,51
73,Los Angeles, CA,47,96,44,6
74,Garland, TX,47,69,53,62
75,Stockton, CA,47,37,96,49
76,Wichita, KS,47,20,82,98
77,Philadelphia, PA,47,77,69,37
78,Jersey City, NJ,46,82,52,45
79,Hialeah, FL,46,61,66,65
80,Mesa, AZ,46,59,73,74
81,Chandler, AZ,46,65,59,76
82,Irving, TX,46,73,33,91
83,Bakersfield, CA,45,72,79,43
84,Durham, NC,45,8,89,93
85,Milwaukee, WI,45,17,97,82
86,Buffalo, NY,45,57,74,90
87,Baltimore, MD,45,62,87,53
88,San Bernardino, CA,44,86,85,27
89,Anchorage, AK,44,80,92,23
90,New York, NY,44,95,71,16
91,Fremont, CA,43,100,64,10
92,Norfolk, VA,43,56,94,73
93,Anaheim, CA,43,94,51,33
94,Charlotte, NC,43,67,56,99
95,Laredo, TX,43,35,100,48
96,Detroit, MI,42,33,98,78
97,Fresno, CA,42,75,90,55
98,Newark, NJ,42,88,32,92
99,Honolulu, HI,40,84,99,28
100,Santa Ana, CA,36,98,76,70
