latitude,longitude,dogfriendly.Overall Rank* ,dogfriendly.City,dogfriendly.State,dogfriendly.Total Score ,dogfriendly.Pet Budget ,dogfriendly.Pet Health & Wellness ,dogfriendly.Outdoor Pet-Friendliness 
35.11,-106.62,14,Albuquerque, NM,56.1,16,83,7
33.86,-117.74,93,Anaheim, CA,43.26,94,51,33
61.45,-150.63,89,Anchorage, AK,44.45,80,92,23
48.18,-121.67,69,Arlington, TX,47.67,66,45,67
45,-84.15,12,Atlanta, GA,56.82,25,11,56
47.53,-92.24,62,Aurora, CO,48.29,64,28,68
43.67,-92.97,15,Austin, TX,56.01,51,6,64
44.78,-72.8,83,Bakersfield, CA,45.48,72,79,43
39.84,-82.6,87,Baltimore, MD,44.64,62,87,53
30.45,-91.18,50,Baton Rouge, LA,49.75,44,17,97
42.54,-83.21,5,Birmingham, AL,59.81,9,15,77
43.74,-116.2,13,Boise, ID,56.4,38,48,12
42.61,-78.72,67,Boston, MA,47.71,85,40,35
46.92,-97.55,86,Buffalo, NY,45.11,57,74,90
43.92,-95.94,81,Chandler, AZ,45.8,65,59,76
44.3,-73.25,94,Charlotte, NC,43.22,67,56,99
38.43,-82.45,48,Chesapeake, VA,49.95,58,81,21
41.98,-87.9,64,Chicago, IL,48.24,90,13,46
32.66,-116.94,70,Chula Vista, CA,47.53,87,31,36
40.63,-92.92,8,Cincinnati, OH,58,19,20,38
46.89,-99.12,63,Cleveland, OH,48.27,24,75,81
38.94,-104.7,18,Colorado Springs, CO,55.25,53,26,22
48.9,-102.78,40,Columbus, OH,51.11,2,95,54
27.8,-97.39,39,Corpus Christi, TX,51.18,10,78,87
45.25,-91.81,72,Dallas, TX,47.47,79,36,51
42.67,-92.33,16,Denver, CO,55.76,60,7,31
44.79,-69.29,96,Detroit, MI,42.11,33,98,78
43.92,-70.12,84,Durham, NC,45.43,8,89,93
40.73,-89.01,52,El Paso, TX,49.65,41,77,47
41.07,-85.13,45,Fort Wayne, IN,50.26,1,65,100
32.75,-97.33,35,Fort Worth, TX,52.01,28,23,83
44.25,-88.87,91,Fremont, CA,43.47,100,64,10
40.36,-81.75,97,Fresno, CA,42.1,75,90,55
45.03,-69.16,74,Garland, TX,47.35,69,53,62
47.49,-92.46,57,Gilbert, AZ,48.86,68,12,89
42.79,-123.4,49,Glendale, AZ,49.86,46,49,71
44.58,-72.28,54,Greensboro, NC,49.31,13,68,72
44.53,-93.9,56,Henderson, NV,49,54,91,24
25.86,-80.29,79,Hialeah, FL,46.29,61,66,65
21.35,-157.87,99,Honolulu, HI,39.76,84,99,28
61.66,-149.68,36,Houston, TX,51.72,27,43,66
39.77,-86.16,43,Indianapolis, IN,50.5,14,47,96
41.84,-79.18,38,Irvine, CA,51.28,97,8,5
42.56,-79.04,82,Irving, TX,45.51,73,33,91
42.79,-72.82,51,Jacksonville, FL,49.66,26,72,63
40.72,-74.08,78,Jersey City, NJ,46.44,82,52,45
39.1,-94.62,46,Kansas City, MO,50.03,12,86,58
40.02,-93.44,95,Laredo, TX,42.86,35,100,48
36.32,-115.35,4,Las Vegas, NV,60.48,32,34,1
47.83,-118.46,21,Lincoln, NE,54.16,4,67,69
46.39,-124.03,68,Long Beach, CA,47.67,93,27,18
34.13,-118.33,73,Los Angeles, CA,47.35,96,44,6
40.99,-96.16,42,Louisville, KY,50.55,29,24,95
33.57,-101.87,55,Lubbock, TX,49.22,39,55,86
45.01,-96.18,26,Madison, WI,53.67,52,38,30
43.08,-76.37,47,Memphis, TN,50.01,5,84,88
46.58,-119.15,80,Mesa, AZ,46.13,59,73,74
40.6,-85.97,23,Miami, FL,54.05,36,19,57
43.06,-87.96,85,Milwaukee, WI,45.21,17,97,82
