Overall Rank ,City,State,Total Score ,Emotional & Physical Well-Being ,Income & Employment ,Community & Environment 
1,Fremont, CA,77,1,46,2
2, Columbia, MD,72,3,161,5
3, San Francisco, CA,71,4,1,44
4, San Jose, CA,71,2,6,55
5,Irvine, CA,70,5,16,12
6,Madison, WI,68,10,11,19
7,Seattle, WA,68,6,2,99
8,Overland Park, KS,67,12,54,13
9,Huntington Beach, CA,66,9,51,43
10,San Diego, CA,66,14,18,25
11,Fargo, ND,65,22,24,23
12,Minneapolis, MN,65,8,20,80
13,Bismarck, ND,65,48,32,4
14,Santa Rosa, CA,65,13,22,105
15,Santa Clarita, CA,64,15,100,29
16,Oakland, CA,64,7,105,87
17,Sioux Falls, SD,64,20,74,27
18,Glendale, CA,64,31,91,11
19,Scottsdale, AZ,64,50,43,6
20,Anaheim, CA,64,25,75,33
21,Aurora, IL,64,21,144,8
22,Plano, TX,63,37,48,24
23,Oxnard, CA,63,26,132,10
24,Garden Grove, CA,63,24,80,52
25,Chula Vista, CA,63,17,113,30
26,Charleston, SC,63,53,3,31
27,Raleigh, NC,62,23,71,63
28,Honolulu, HI,62,44,72,21
29,Cedar Rapids, IA,62,38,83,40
30,Austin, TX,62,35,5,109
31,Portland, ME,62,28,10,150
32,Pearl City, HI,62,36,148,22
33,Oceanside, CA,62,30,110,53
34,Gilbert, AZ,62,55,34,17
35,Lincoln, NE,61,27,67,104
36,Boston, MA,61,43,15,89
37,South Burlington, VT,61,11,56,181
38,Santa Ana, CA,61,45,31,86
39,Pembroke Pines, FL,61,51,125,15
40,Burlington, VT,60,34,9,170
41,Portland, OR,60,49,21,88
42,Aurora, CO,60,19,154,69
43,Jersey City, NJ,60,40,170,20
44,Yonkers, NY,60,18,163,102
45,Chandler, AZ,60,58,60,38
46,St. Paul, MN,60,33,96,121
47,Omaha, NE,59,52,79,56
48,Juneau, AK,59,32,14,179
49,Sacramento, CA,59,64,30,49
50,Cheyenne, WY,59,101,47,3
51,Virginia Beach, VA,59,62,120,18
52,Peoria, AZ,59,72,58,16
53,Tempe, AZ,59,71,17,50
54,Los Angeles, CA,59,39,85,128
55,Salt Lake City, UT,59,57,33,116
56,Chicago, IL,58,47,166,46
57,Denver, CO,58,16,134,153
58,New York, NY,58,46,164,51
59,Anchorage, AK,58,60,102,54
60,Long Beach, CA,58,41,142,101
61,Nashua, NH,58,68,104,35
62,Boise, ID,58,59,13,119
63,Cape Coral, FL,58,89,45,9
64,Colorado Springs, CO,58,63,97,59
65,Pittsburgh, PA,58,80,29,41
66,Fort Lauderdale, FL,58,67,84,62
67,Charlotte, NC,58,61,78,68
68,Bridgeport, CT,57,42,165,91
69,Chesapeake, VA,57,81,145,7
70,Warwick, RI,57,69,62,90
71,Rancho Cucamonga, CA,57,83,36,48
72,Rapid City, SD,57,76,27,76
73,Missoula, MT,57,88,40,28
74,Durham, NC,57,54,69,123
75,Miami, FL,57,56,52,142
76,Des Moines, IA,57,70,68,81
77,Columbia, SC,57,108,4,37
78,Reno, NV,56,65,37,143
79,Casper, WY,56,127,123,1
80,Tampa, FL,56,94,38,60
81,West Valley City, UT,56,78,82,85
82,Tacoma, WA,56,75,98,93
83,Grand Prairie, TX,55,98,89,42
84,Vancouver, WA,55,73,49,147
85,Washington, DC,55,29,57,182
86,Port St. Lucie, FL,55,115,65,14
87,Mesa, AZ,55,86,77,64
88,Providence, RI,55,113,25,47
89,Irving, TX,55,85,55,98
90,Manchester, NH,55,84,129,57
91,Orlando, FL,55,96,19,108
92,Grand Rapids, MI,54,104,53,66
93,Atlanta, GA,54,79,87,115
94,Hialeah, FL,54,66,157,110
95,Tallahassee, FL,54,130,8,45
96,Ontario, CA,54,119,64,32
97,Garland, TX,54,92,108,67
98,Henderson, NV,54,87,143,58
99,Fontana, CA,53,118,95,34
100,St. Petersburg, FL,53,100,35,134
101,Modesto, CA,53,112,42,92
102,Moreno Valley, CA,53,120,116,26
103,Fort Worth, TX,53,97,124,83
104,Riverside, CA,53,107,28,125
105,Billings, MT,53,122,26,107
106,Spokane, WA,52,126,7,129
107,Arlington, TX,52,93,122,118
108,Glendale, AZ,52,106,112,114
109,Nashville, TN,52,117,107,74
110,Worcester, MA,52,95,139,126
111,Dallas, TX,52,90,93,154
112,Houston, TX,51,74,140,164
113,Norfolk, VA,51,102,167,96
114,Milwaukee, WI,51,103,152,113
115,Wilmington, DE,51,125,126,77
115,Laredo, TX,51,105,50,165
117,Tucson, AZ,51,114,66,148
118,New Haven, CT,51,77,115,178
119,Phoenix, AZ,50,91,106,169
120,El Paso, TX,50,109,130,132
121,Albuquerque, NM,50,82,101,176
122,Stockton, CA,50,99,150,137
123,Fresno, CA,50,123,86,136
124,Nampa, ID,50,145,99,39
125,Brownsville, TX,50,133,73,122
126,Bakersfield, CA,50,132,103,100
127,Jacksonville, FL,50,147,109,36
128,Las Cruces, NM,50,110,118,156
129,Winston-Salem, NC,49,138,94,97
130,San Antonio, TX,49,116,88,160
131,Rochester, NY,49,131,114,139
132,Newark, NJ,49,111,182,73
133,Las Vegas, NV,49,124,169,95
134,Columbus, OH,48,128,138,145
135,North Las Vegas, NV,48,135,175,61
136,Buffalo, NY,48,121,136,157
137,Greensboro, NC,48,129,70,167
138,Lexington-Fayette, KY,48,134,121,144
139,Corpus Christi, TX,48,137,62,159
140,Huntsville, AL,47,152,119,79
141,Philadelphia, PA,47,148,146,75
141,Wichita, KS,47,143,127,130
143,Amarillo, TX,47,159,76,70
144,Lewiston, ME,47,166,12,78
145,Salem, OR,46,144,41,175
146,Newport News, VA,46,141,174,72
147,New Orleans, LA,46,146,111,146
148,Oklahoma City, OK,46,155,135,82
149,Baltimore, MD,46,142,178,84
150,Richmond, VA,46,136,176,133
151,Dover, DE,46,151,92,155
152,Kansas City, MO,46,140,128,166
153,San Bernardino, CA,45,149,137,140
154,Cincinnati, OH,45,139,147,163
155,Fort Wayne, IN,45,154,149,117
156,Springfield, MO,45,167,44,103
