zipcode,state,avg_income,Zips.primary_city,latitude,longitude,Zips.county,Zips.estimated_population
1001,MA,60019,Agawam,42.06,-72.61,Hampden County,14021
1002,MA,93048,Amherst,42.37,-72.52,Hampshire County,16532
1005,MA,62206,Barre,42.42,-72.1,Worcester County,3935
1007,MA,79230,Belchertown,42.27,-72.4,Hampshire County,12895
1008,MA,70767,Blandford,42.18,-72.93,Hampden County,1153
1010,MA,77056,Brimfield,42.11,-72.2,Hampden County,3312
1011,MA,57567,Chester,42.28,-72.98,Hampden County,1012
1012,MA,69994,Chesterfield,42.4,-72.85,Hampshire County,639
1013,MA,43693,Chicopee,42.17,-72.57,Hampden County,16669
1020,MA,50640,Chicopee,42.17,-72.57,Hampden County,24570
1022,MA,46513,Chicopee,42.17,-72.57,Hampden County,1713
1026,MA,61162,Cummington,42.46,-72.9,Hampshire County,865
1027,MA,63800,Easthampton,42.26,-72.68,Hampshire County,15525
1028,MA,93798,East Longmeadow,42.06,-72.51,Hampden County,14024
1030,MA,67843,Feeding Hills,42.06,-72.67,Hampden County,10449
1031,MA,48738,Gilbertville,42.35,-72.21,Worcester County,932
1032,MA,57650,Goshen,42.43,-72.8,Hampshire County,489
1033,MA,72400,Granby,42.26,-72.52,Hampshire County,5647
1034,MA,73199,Granville,42.06,-72.86,Hampden County,1787
1035,MA,75994,Hadley,42.35,-72.58,Hampshire County,4327
1036,MA,86152,Hampden,42.06,-72.41,Hampden County,4700
1038,MA,81485,Hatfield,42.37,-72.6,Hampshire County,2161
1039,MA,87498,Haydenville,42.39,-72.7,Hampshire County,1228
1040,MA,46461,Holyoke,42.21,-72.64,Hampden County,26316
1050,MA,61313,Huntington,42.23,-72.88,Hampshire County,2282
1053,MA,77192,Leeds,42.35,-72.71,Hampshire County,1407
1054,MA,99111,Leverett,42.45,-72.5,Franklin County,1620
1056,MA,66739,Ludlow,42.16,-72.48,Hampden County,17529
1057,MA,70472,Monson,42.09,-72.31,Hampden County,7429
1060,MA,83411,Northampton,42.32,-72.67,Hampshire County,10304
1062,MA,88228,Florence,42.32,-72.67,Hampshire County,9483
1068,MA,76669,Oakham,42.35,-72.05,Worcester County,1807
1069,MA,66762,Palmer,42.16,-72.32,Hampden County,6950
1070,MA,56971,Plainfield,42.51,-72.91,Hampshire County,467
1071,MA,62825,Russell,42.18,-72.85,Hampden County,1376
1072,MA,73831,Shutesbury,42.45,-72.4,Franklin County,1269
1073,MA,87150,Southampton,42.23,-72.73,Hampshire County,5385
1075,MA,74785,South Hadley,42.26,-72.56,Hampshire County,14184
1077,MA,78153,Southwick,42.05,-72.76,Hampden County,8567
1080,MA,46273,Three Rivers,42.18,-72.37,Hampden County,1888
1081,MA,57832,Wales,42.06,-72.21,Hampden County,1491
1082,MA,54755,Ware,42.25,-72.24,Hampshire County,8509
1085,MA,66181,Westfield,42.13,-72.75,Hampden County,32344
1088,MA,62784,West Hatfield,42.39,-72.64,Hampshire County,458
1089,MA,61158,West Springfield,42.12,-72.65,Hampden County,23043
1095,MA,107837,Wilbraham,42.13,-72.43,Hampden County,13107
1096,MA,75743,Williamsburg,42.4,-72.71,Hampshire County,2266
1098,MA,67645,Worthington,42.41,-72.93,Hampshire County,1076
1103,MA,40176,Springfield,42.11,-72.53,Hampden County,1533
1104,MA,36274,Springfield,42.11,-72.53,Hampden County,15795
1105,MA,25339,Springfield,42.11,-72.53,Hampden County,6054
1106,MA,170125,Longmeadow,42.04,-72.57,Hampden County,14332
1107,MA,33580,Springfield,42.11,-72.53,Hampden County,6360
1108,MA,37281,Springfield,42.11,-72.53,Hampden County,17151
1109,MA,33300,Springfield,42.11,-72.53,Hampden County,17988
1118,MA,52683,Springfield,42.11,-72.53,Hampden County,11858
1119,MA,45179,Springfield,42.11,-72.53,Hampden County,9915
1128,MA,59098,Springfield,42.11,-72.53,Hampden County,2510
1129,MA,51609,Springfield,42.11,-72.53,Hampden County,5884
1151,MA,35054,Indian Orchard,42.15,-72.51,Hampden County,6080
1201,MA,57618,Pittsfield,42.45,-73.26,Berkshire County,36002
1220,MA,48609,Adams,42.62,-73.11,Berkshire County,6993
1222,MA,51253,Ashley Falls,42.05,-73.33,Berkshire County,681
1223,MA,72600,Becket,42.33,-73.07,Berkshire County,1964
1225,MA,63544,Cheshire,42.55,-73.15,Berkshire County,2990
1226,MA,72098,Dalton,42.47,-73.16,Berkshire County,5793
1230,MA,89385,Great Barrington,42.19,-73.35,Berkshire County,5873
1235,MA,64966,Hinsdale,42.42,-73.07,Berkshire County,2476
1236,MA,61515,Housatonic,42.25,-73.36,Berkshire County,1486
1237,MA,71701,Lanesboro,42.51,-73.22,Berkshire County,2606
1238,MA,64680,Lee,42.3,-73.25,Berkshire County,5056
1240,MA,115356,Lenox,42.35,-73.28,Berkshire County,4020
1245,MA,84795,Monterey,42.18,-73.21,Berkshire County,682
1247,MA,46188,North Adams,42.68,-73.11,Berkshire County,11730
1253,MA,67918,Otis,42.19,-73.07,Berkshire County,778
1254,MA,139207,Richmond,42.37,-73.36,Berkshire County,1068
1255,MA,60711,Sandisfield,42.11,-73.13,Berkshire County,572
1256,MA,57072,Savoy,42.56,-73.02,Berkshire County,574
1257,MA,85597,Sheffield,42.1,-73.34,Berkshire County,2018
1258,MA,104925,South Egremont,42.16,-73.41,Berkshire County,591
1259,MA,68424,Southfield,42.07,-73.23,Berkshire County,438
1266,MA,109077,West Stockbridge,42.31,-73.39,Berkshire County,1182
1267,MA,113059,Williamstown,42.7,-73.2,Berkshire County,5277
1270,MA,70300,Windsor,42.51,-73.04,Berkshire County,694
