state,disaster_number,latitude,longitude
AK,247,63.59,-154.49
AL,1538,32.32,-86.90
AR,1512,35.20,-91.83
AZ,322,34.05,-111.09
CA,1378,36.78,-119.42
CO,636,39.55,-105.78
CT,218,41.60,-73.09
DC,22,38.91,-77.03
DE,50,38.91,-75.53
FL,1969,27.66,-81.52
GA,2240,32.16,-82.91
HI,95,19.90,-155.67
IA,1800,41.88,-93.10
ID,346,44.07,-114.74
IL,1269,40.63,-89.40
IN,1452,40.55,-85.60
KS,1696,39.01,-98.48
KY,2417,37.84,-84.27
LA,1751,31.24,-92.15
MA,389,42.41,-71.38
MD,445,39.05,-76.64
ME,1005,45.25,-69.45
MI,792,44.31,-85.60
MN,1499,46.73,-94.69
MO,2767,37.96,-91.83
MS,1602,32.35,-89.40
MT,577,46.88,-110.36
NC,1848,35.76,-79.02
ND,1296,47.55,-101.00
NE,1425,41.49,-99.90
NH,296,43.19,-71.57
NJ,568,40.06,-74.41
NM,495,34.97,-105.03
NV,269,38.80,-116.42
NY,1415,43.30,-74.22
OH,1282,40.42,-82.91
OK,2279,35.01,-97.09
OR,511,43.80,-120.55
PA,1226,41.20,-77.19
PR,1734,18.22,-66.59
RI,102,41.58,-71.48
SC,858,33.84,-81.16
SD,1250,43.97,-99.90
TN,1524,35.52,-86.58
TX,4561,31.97,-99.90
UT,240,39.32,-111.09
VA,2460,37.43,-78.66
VT,315,44.56,-72.58
WA,849,47.75,-120.74
WI,892,43.78,-88.79
WV,1219,38.60,-80.45
WY,125,43.08,-107.29
