zip_code,lat,lng,temp,pressure,humidity,wind_speed,clouds
00501,40.8154,-73.0451,8.13,1014,86,3.6,100
00602,18.38,-67.18,23.18,1015,83,1.34,5
00601,18.16,-66.72,18.66,913,88,5.36,7
00544,40.8154,-73.0451,8.13,1014,86,3.6,100
00603,18.43,-67.15,22.74,1015,83,0.45,5
00623,18.08,-67.14,23.69,1015,80,2.73,8
00605,18.43,-67.15,22.74,1015,83,0.45,5
00624,18.06,-66.72,22.05,1017,81,2.06,6
00631,18.19,-66.82,18.88,1016,84,1.52,7
00627,18.48,-66.84,23.16,1017,78,0.45,6
00604,18.43,-67.15,22.74,1015,83,0.45,5
00641,18.27,-66.7,21.02,913,89,5.36,7
00636,18.15,-67.06,22.59,1015,80,2.18,7
00606,18.18,-66.98,20.2,1016,83,1.92,8
00610,18.28,-67.14,23.47,1017,83,0.45,7
00616,18.42,-66.67,21.91,1018,82,3.71,7
00638,18.33,-66.47,21.67,1016,91,2.54,8
00637,18.08,-66.96,22.45,1016,80,2.24,6
00612,18.45,-66.73,22.74,1018,81,4.05,6
00613,18.45,-66.73,22.74,1018,81,4.05,6
00614,18.45,-66.73,22.74,1018,81,4.05,6
00652,18.45,-66.6,22.22,1018,87,4.23,7
00617,18.45,-66.56,22.27,1018,87,4.28,7
00622,17.99,-67.15,23.46,1015,77,3.39,8
00611,18.28,-66.79,19.56,1016,93,1.72,7
00650,18.36,-66.56,20.74,1016,86,2.97,8
00662,18.5,-67.02,23.08,1016,81,5.19,4
00653,17.99,-66.89,22.41,1015,81,2.68,6
00646,18.47,-66.27,23.71,1016,79,4.16,6
00647,17.96,-66.94,22.89,1015,80,3.46,6
00659,18.48,-66.82,23.1,1018,80,0.45,6
00674,18.43,-66.48,21.86,1016,87,4.03,7
00656,18.02,-66.79,22.52,1017,77,2.27,6
00664,18.22,-66.59,18.96,959,88,1.38,8
00670,18.27,-67.06,22.27,1016,83,2.07,8
00660,18.14,-67.12,23.37,1015,83,2.38,7
00667,18.04,-67.06,23.14,1017,77,2.24,7
00685,18.33,-66.99,22.86,1016,88,2.69,7
00680,18.2,-67.14,23.47,1017,83,0.45,7
00669,18.29,-66.88,20.92,1016,91,1.96,7
00694,18.48,-66.39,22.85,1016,80,4.56,6
00676,18.39,-67.11,23.1,1016,83,0.45,6
00677,18.34,-67.25,23.29,1015,83,1.34,5
00693,18.44,-66.39,22.56,1016,83,3.99,7
00678,18.47,-66.93,22.83,1016,78,4.48,5
00682,18.22,-67.16,23.37,1017,83,0.45,7
00690,18.49,-67.09,23.01,1015,83,5.61,4
00688,18.38,-66.62,20.92,1018,87,3.19,7
00698,18.03,-66.86,22.36,1017,84,2.29,6
00692,18.41,-66.32,23.04,1016,84,3.44,7
00681,18.2,-67.14,23.47,1017,83,0.45,7
00703,18.25,-66.1,21.67,1015,86,0.45,8
00687,18.32,-66.4,20.71,1016,91,2.3,8
00683,18.08,-67.04,23.06,1015,77,2.41,7
00719,18.3,-66.24,22.41,1016,82,1.85,9
00715,18.01,-66.56,23.89,1016,71,2.24,7
